;*объемный вес  авиа  не менее 167 кг в кубе;;;;;;;;;;;;;;;
;* *перечень документов для экспорта  MSDS  сертификат, UAN 38форма От поставщика;;;;;;;;;;;;;;;
;*** доставка до 1 куба котируется как 1 куб;;;;;;;;;;;;;;;
;**** доплата за шт\;;;;;;;;;;;;;;;
;;;;;;доставка авиа;Авиа экспресс фрахт;;;авиа стандарт фрахт;Авиа стандарт/экспресс ТО;;ЖД/МОРЕ фрахт;;;ЖД/МОРЕ таможня
